date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:31	9993/9993	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Apr%202019%2009:10:36%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/courses.html	(from )
14:52:33	231/231	---M--	302	error ('Found')	text/html	date:Thu,%2024%20Dec%202020%2009:22:32%20GMT	https://internship.suvenconsultants.com/robots.txt		(from )
14:52:33	16958/16958	---M--	200	added ('OK')	image/x-icon	date:Tue,%2026%20Feb%202019%2006:38:16%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/favicon.ico	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/favicon.ico	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:35	31030/31030	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Feb%202019%2006:36:59%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/css/font-awesome.min.css	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/css/font-awesome.min.css	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:36	4028/4028	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Feb%202019%2006:36:59%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/css/owl.carousel.css	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/css/owl.carousel.css	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:36	29326/29326	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Feb%202019%2006:37:00%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/css/style.css	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/css/style.css	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:37	9003/9003	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2011:22:07%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/index.html	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/index.html	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:38	7885/7885	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2010:57:58%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/contact.html	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/contact.html	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:38	9962/9962	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2010:58:11%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/blog.html	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/blog.html	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:40	76808/76808	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:40:50%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/page-bg/1.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/page-bg/1.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:41	86659/86659	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Feb%202019%2006:41:59%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/js/jquery-3.2.1.min.js	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:41	140936/140936	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Feb%202019%2006:37:01%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/css/bootstrap.min.css	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/css/bootstrap.min.css	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:41	4445/4445	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Feb%202019%2006:41:56%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/js/circle-progress.min.js	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/js/circle-progress.min.js	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
14:52:41	51039/51039	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Feb%202019%2006:41:59%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/js/bootstrap.min.js	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/js/bootstrap.min.js	(from https://internship.suvenconsultants.com/projects/tutorialspoint/courses.html)
